SLOT1_FAST1,GPIO0
SLOT1_FAST2,GPIO1
SLOT1_FAST3,GPIO2
SLOT1_FAST4,GPIO3
SLOT1_SLOW1,EXT_GPIO3
SLOT1_SLOW2,EXT_GPIO4
SLOT1_SLOW3,EXT_GPIO5
SLOT2_FAST1,GPIO4
SLOT2_FAST2,GPIO5
SLOT2_FAST3,GPIO6
SLOT2_FAST4,GPIO7
SLOT2_SLOW1,EXT_GPIO0
SLOT2_SLOW2,EXT_GPIO1
SLOT2_SLOW3,EXT_GPIO2
SLOT3_FAST1,GPIO8
SLOT3_FAST2,GPIO9
SLOT3_FAST3,GPIO10
SLOT3_FAST4,GPIO11
SLOT3_SLOW1,EXT_GPIO8
SLOT3_SLOW2,EXT_GPIO9
SLOT3_SLOW3,EXT_GPIO10
SLOT4_FAST1,GPIO12
SLOT4_FAST2,GPIO13
SLOT4_FAST3,GPIO14
SLOT4_FAST4,GPIO15
SLOT4_SLOW1,EXT_GPIO23
SLOT4_SLOW2,EXT_GPIO21
SLOT4_SLOW3,EXT_GPIO22
SLOT5_FAST1,GPIO16
SLOT5_FAST2,GPIO17
SLOT5_FAST3,GPIO18
SLOT5_FAST4,GPIO19
SLOT5_SLOW1,EXT_GPIO31
SLOT5_SLOW2,EXT_GPIO30
SLOT5_SLOW3,EXT_GPIO29
SLOT6_FAST1,GPIO20
SLOT6_FAST2,GPIO21
SLOT6_FAST3,GPIO22
SLOT6_FAST4,GPIO23
SLOT6_SLOW1,EXT_GPIO26
SLOT6_SLOW2,EXT_GPIO28
SLOT6_SLOW3,EXT_GPIO27
SDA,GPIO24
SCL,GPIO25
EX_I2C_SDA,GPIO26
EX_SPI_SCK,GPIO26
GP26_A0,GPIO26
GP26,GPIO26
A0,GPIO26
EX_I2C_SCL,GPIO27
EX_SPI_MOSI,GPIO27
GP27_A1,GPIO27
GP27,GPIO27
A1,GPIO27
INT,GPIO28
SHARED_ADC,GPIO29
MAIN_EN,EXT_GPIO6
USER_SW,EXT_GPIO7
ADC_ADDR_1,EXT_GPIO12
ADC_ADDR_2,EXT_GPIO13
ADC_ADDR_3,EXT_GPIO14
ADC_MUX_EN_1,EXT_GPIO15
ADC_MUX_EN_2,EXT_GPIO11
SW_A,EXT_GPIO17
SW_B,EXT_GPIO18
LED_A,EXT_GPIO19
LED_B,EXT_GPIO20
LCD_BL,EXT_GPIO16
LCD_DC,EXT_GPIO24
LCD_CS,EXT_GPIO25
